Candidate threshold,MAP
1,0.13714605683260797
2,0.13763977981847547
3,0.13801267393219496
4,0.13836598336103453
5,0.13863611729234654
6,0.13894096143661655
7,0.13903157102813454
8,0.13910109479317403
9,0.13914835266363393
10,0.1392447989481869
15,0.13899633198073816
20,0.13872741274365646
25,0.13832932809082732
50,0.13594944661004618
